NUM SMILES S0S1 S0T1 S1T1 F12
001 c1cc2ccnc-2ccn1 2.4012 2.4884 -0.0872 0.0134169
002 c1cc2ccnc-2cnn1 2.5230 2.2702 0.2528 0.0060940
003 c1cc2ccnc-2ncn1 2.2653 2.3155 -0.0502 0.0177140
004 c1cc2ccnc-2nnn1 2.3116 2.1554 0.1562 0.0113865
005 c1cc2ccnccc-2c1 2.0446 2.1394 -0.0948 0.0106844
006 c1cc2ccncnc-2c1 1.8983 1.9660 -0.0677 0.0104106
007 c1cc2ccnncc-2c1 2.3156 2.2655 0.0501 0.0074590
008 c1cc2ccnnnc-2c1 1.9785 2.0335 -0.055 0.0063516
009 c1cc2cncc-2ccn1 1.7962 1.8580 -0.0618 0.0138774
010 c1cc2cncc-2cnn1 2.1276 2.0376 0.09 0.0121534
011 c1cc2cncc-2ncn1 1.6372 1.6632 -0.026 0.0125341
012 c1cc2cncc-2nnn1 1.9472 1.7591 0.1881 0.0132933
013 c1cc2cnccnc-2c1 2.2053 2.2625 -0.0572 0.0097430
014 c1cc2cncncc-2c1 2.5287 2.7275 -0.1988 0.0003558
015 c1cc2cncnnc-2c1 2.5196 2.2011 0.3185 0.0013405
016 c1cc2cnnc-2ccn1 2.2086 2.2632 -0.0546 0.0162429
017 c1cc2cnnc-2cnn1 2.4844 2.1004 0.384 0.0017382
018 c1cc2cnnc-2ncn1 2.0781 2.1147 -0.0366 0.0121559
019 c1cc2cnnc-2nnn1 2.0209 2.0183 0.0026 0.0076293
020 c1cc2cnncnc-2c1 2.2159 1.9400 0.2759 0.0089848
021 c1cc2cnncnc-2n1 2.3056 2.0082 0.2974 0.0077198
022 c1cc2cnnncc-2c1 2.1257 1.8348 0.2909 0.0007196
023 c1cc2cnnncc-2n1 2.5598 1.8268 0.733 0.0149205
024 c1cc2cnnnnc-2c1 3.0502 2.0534 0.9968 0.0071986
025 c1cc2cnnnnc-2n1 2.9827 2.1610 0.8217 0.0264776
026 c1cc2nccc-2cnn1 2.6739 2.4141 0.2598 0.0152604
027 c1cc2nccc-2ncn1 2.2736 2.4059 -0.1323 0.0088377
028 c1cc2nccc-2nnn1 2.2844 2.2180 0.0664 0.0050645
029 c1cc2nccnnc-2c1 2.0981 2.2107 -0.1126 0.0047617
030 c1cc2ncnc-2ccn1 2.8037 2.9433 -0.1396 0.0119228
031 c1cc2ncnc-2cnn1 2.7248 2.2918 0.433 0.0013059
032 c1cc2ncnc-2ncn1 2.6841 2.7745 -0.0904 0.0124482
033 c1cc2ncnc-2nnn1 2.4793 2.1965 0.2828 0.0063247
034 c1cc2ncncnc-2c1 1.7359 1.8098 -0.0739 0.0086565
035 c1cc2ncnncc-2n1 2.1868 1.8538 0.333 0.0076614
036 c1cc2ncnnnc-2c1 1.8005 1.8027 -0.0022 0.0080405
037 c1cc2nncc-2cnn1 2.2319 1.8983 0.3336 0.0142821
038 c1cc2nncc-2ncn1 2.0415 2.0698 -0.0283 0.0166822
039 c1cc2nncc-2nnn1 2.5405 2.0764 0.4641 0.0136178
040 c1cc2nncnnc-2c1 2.2047 2.1474 0.0573 0.0006039
041 c1cc2nnnc-2ccn1 2.5131 2.6719 -0.1588 0.0189857
042 c1cc2nnnc-2cnn1 2.3106 1.8704 0.4402 0.0069734
043 c1cc2nnnc-2ncn1 2.3016 2.1519 0.1497 0.0172761
044 c1cc2nnnc-2nnn1 2.4462 2.1129 0.3333 0.0145631
045 c1cc2nnncnc-2n1 2.0876 2.0102 0.0774 0.0124772
046 c1cc2nnnncc-2n1 2.8955 2.0571 0.8384 0.0034624
047 c1cc2nnnnnc-2c1 3.2030 2.7603 0.4427 0.0000025
048 c1cc2nnnnnc-2n1 3.1417 2.7861 0.3556 0.0000098
049 c1ccc2cccc-2cc1 2.1963 2.3723 -0.176 0.0064273
050 c1ccc2cccc-2nc1 2.0528 2.1786 -0.1258 0.0071149
051 c1ccc2ccnc-2cc1 2.5598 2.5959 -0.0361 0.0085102
052 c1ccc2ccnc-2nc1 2.4074 2.4422 -0.0348 0.0146145
053 c1ccc2cncc-2cc1 1.9562 2.1118 -0.1556 0.0100826
054 c1ccc2cncc-2nc1 1.7841 1.8917 -0.1076 0.0094184
055 c1ccc2cnnc-2cc1 2.3691 2.5015 -0.1324 0.0109122
056 c1ccc2cnnc-2nc1 2.2104 2.3201 -0.1097 0.0083651
057 c1ccc2nccc-2nc1 2.4117 2.5126 -0.1009 0.0043456
058 c1ccc2ncnc-2cc1 2.9579 2.8182 0.1397 0.0047492
059 c1ccc2ncnc-2nc1 2.8165 2.7368 0.0797 0.0072557
060 c1ccc2nncc-2nc1 2.1825 2.2708 -0.0883 0.0117727
061 c1ccc2nnnc-2cc1 2.7129 2.8743 -0.1614 0.0116657
062 c1ccc2nnnc-2nc1 2.4964 2.5150 -0.0186 0.0113027
063 c1cnc2cccc-2nc1 1.8934 2.0209 -0.1275 0.0052968
